,Timestamp,Batch,LMS_Improvements,LMS_Convenience_Rating,LMS_Convenience_Explained,Online_Learning_Difficulty,Training_Likes_Category,Fav_Subjects,Joined_Mentor_Session,Mentor_Experience,GED_Improvements,Math_Teaching_Effectiveness,Math_Time_Sufficient,Math_Confidence_After,Math_Homework_Reasonable,Math_Teacher_Attention,Math_Content_Satisfaction,SS_Teaching_Effectiveness,SS_Time_Sufficient,SS_Confidence_After,SS_Homework_Reasonable,SS_Teacher_Attention,SS_Content_Satisfaction,RLA_Teaching_Effectiveness,RLA_Time_Sufficient,RLA_Confidence_After,RLA_Homework_Reasonable,RLA_Teacher_Attention,RLA_Content_Satisfaction,Science_Teaching_Effectiveness,Science_Time_Sufficient,Science_Confidence_After,Science_Homework_Reasonable,Science_Teacher_Attention,Science_Content_Satisfaction,Pre_GED_Math_Confidence,Pre_GED_RLA_Confidence,Pre_GED_Science_Confidence,Pre_GED_SS_Confidence,Post_GED_Math_Confidence,Post_GED_RLA_Confidence,Post_GED_Science_Confidence,Post_GED_SS_Confidence,Program_Expectations_Met,Math_Skills_Improved,Science_Skills_Improved,SS_Skills_Improved,RLA_Skills_Improved,Top_Improved_Subjects,Pre_Real_Life_Confidence,Post_Real_Life_Confidence,GED_Improvement_Recommendations,Top_GED_Contributors,Overall_GED_Satisfaction,GED_Exam_Preparation_Rating,Additional_Comments,Requested_Topics,Experiences_Shares,Recommend_Program
0,2024-10-19 10:50:23.262,GED First Batch,"Have to scroll a bit to find a specific date. But other than that, it is a good experience using Moodle!",4,Not Specified,noisy environment,"Mentor Session, Exam Session","Math, Social Studies, RLA, Science",Yes,"My mentor helped me brainstorm what universities I should do, what I should do to apply for them, and other things such as budgeting, etc. I enjoyed the time I spent with my mentor.","For me, it is good as it already is. Teachers taught in a active way that I developed an interest in Social Studies, a subject I was bored of in school. The slides are good for reviewing detailed info and I used them to take my own notes. Every teacher teaches in a unique way and for me, I followed their guidance and direction.",4,Yes,4,Yes,4,4,5,Yes,5,Maybe more homework ğŸ˜. I liked doing the biography of Abraham Lincoln and it helped me memorize a lot about him.,4,4,4,Yes,4,Yes,4,4,4,Yes,4,Yes,4,4,4,2,2,1,4,4,4,4,50-75%,5,4,5,4,Social Studies,Was fairly confident in applying knowledge,Can apply knowledge more often,"More practice problems in each subject, Additional study materials or resources, More interactive activities or group work, More detailed explanations of difficult concepts","Availability of practice exams and quizzes, Feedback and guidance from instructors, Motivation and encouragement from teacher",5,5,"I immediately took the GED exam after the program. With the notes and teaching the teachers provided, I was able to quickly review the materials to ensure a good score.","For RLA, I want more reading exercises. Specifically texts from the previous era, e.g. poems, novels, historical documents, diaries. I was fairly confident in reading modern texts but for past documents, I had a hard time understanding. The exam also included writing styles from the past, so it would be wonderful if those were included!","Extremely good! I learnt a lot from the teachers not only academic related, but also life related lessons. They made sure all the students could understand the materials and guide us.",Yes
1,2024-10-19 11:36:48.070,GED Second Batch,"Not really, Everything is great ",5,It is very satisfying.,"Internet, noisy environment","Mentor Session, Weekly practice sessions","Math, Social Studies",No,All teachers are very good at teaching and very patient dealing with students ,Instructor engagement and interaction,5,Maybe,4,Yes,5,5,5,Maybe,4,Yes,5,5,5,Yes,4,Yes,5,5,5,Yes,3,Yes,5,5,4,2,3,1,5,4,4,4,75-100%,5,5,5,5,Social Studies,Could apply knowledge sometimes,Confident in applying knowledge,"More practice problems in each subject, More interactive activities or group work, Access to online resources or recorded lessons","Quality of teaching and instruction, Study materials and resources provided, Availability of practice exams and quizzes, Feedback and guidance from instructors, Motivation and encouragement from teacher, Group communication channels or peer interaction platforms",5,5,I'm starting to feel more and more confident for my GED exam.,More wider informations in social studies and detailed explanations about how to answer specific questions ,Thanks for the program ,Yes
2,2024-10-19 14:23:48.420,GED Second Batch,-,4,"Sometimes,it is inconvient because of poor connection but it is fine because we can answer the test like real exam.",Internet,"LMS, Weekly practice sessions, Exam Session",Math,No,"""Have a commitment "" is a guidance for me to continue my GED Classes and my GED journey. ","effective of study materials (eg-slides, pdf), teaching methods",4,No,3,Yes,4,3,4,Maybe,2,Yes,4,3,4,No,3,Yes,3,3,3,No,3,Yes,4,4,3,2,2,2,3,3,3,3,50-75%,3,3,3,3,Mathematics,Struggled with applying knowledge,"Some improvement, but still challenging","Additional study materials or resources, Longer or more frequent training sessions, Additional practice exams or mock tests","Quality of teaching and instruction, Availability of practice exams and quizzes, Feedback and guidance from instructors",3,4,Its program is very helpful to us.,-,-,Yes
3,2024-10-19 22:21:50.346,GED Second Batch,I got more practices and wide knowledges for the courses,5,I love using Moodle. Also how the teachers taught us carefully. I love the way the Moodle has made in detail.,"Electricity, Internet, device, I feel really sorry that I had a lot of personal issues in September and October. In those months I missed the classes and also some assignments. I tried as much as I can but many issues has happened.(WiFi broken, my laptop broke, my eyes sicked, had to live in other place)","LMS, Exam Session","Social Studies, RLA",No,Not Specified,Instructor engagement and interaction,5,Yes,4,Yes,5,5,5,No,3,Yes,5,5,5,Yes,5,Yes,5,5,3,Yes,2,Yes,4,4,2,2,3,2,4,3,2,2,50-75%,5,3,4,5,RLA,Was very confident in applying knowledge,Very confident in applying knowledge,"More interactive activities or group work, Access to online resources or recorded lessons, Additional practice exams or mock tests, Improved communication between instructors and students","Quality of teaching and instruction, Availability of practice exams and quizzes, Online learning tools and platform",4,5,Math+Science á€€á€­á€¯á€†á€€á€ºá€á€­á€¯á€€á€ºá€á€„á€ºá€›á€á€¬á€€á€á€±á€¬á€· á€”á€Šá€ºá€¸á€”á€Šá€ºá€¸á€¡á€á€€á€ºá€¡á€á€²á€–á€¼á€…á€ºá€•á€«á€á€šá€ºá€›á€¾á€„á€·á€º á€”á€±á€¬á€€á€ºá€•á€­á€¯á€„á€ºá€¸á€…á€­á€á€ºá€œá€½á€„á€·á€ºá€œá€­á€¯á€·á‹ á€…á€¬á€á€„á€ºá€á€»á€­á€”á€ºá€€á€­á€¯á€á€…á€ºâ€Œá€±á€­á€·2á€”á€¬á€›á€®á€‘á€€á€ºá€™á€€á€»á€±á€¬á€ºá€›á€„á€ºá€¡á€†á€„á€ºá€•á€¼á€±á€™á€šá€ºá€‘á€„á€ºá€•á€«á€á€šá€ºá‹,Not really ,-,Yes
4,2024-10-20 17:04:46.871,GED Second Batch,"Since the LMS platform provides assignments with weekly deadlines, I can complete the work on time without feeling overwhelmed.",4,"The LMS displays assignments on the dashboard about a week before the deadline, which makes it convenient. When taking tests, there is sometimes a difficulty with typing, and errors occur, but otherwise, everything runs smoothly.
","Electricity, Internet, noisy environment","Mentor Session, Weekly practice sessions","Math, Social Studies",No,"Valuing others' rights and always moving forward are valuable lessons from mentors. Additionally, since we know ourselves best, it's important to continually ask how we can prepare to be ready for the GED exam, and we should also plan ahead for what to do after completing it.
",The training period should last at least six months.,5,Yes,5,Yes,5,5,5,Maybe,4,Yes,4,4,5,Maybe,4,Yes,4,4,5,Yes,4,Yes,5,4,3,3,3,1,5,4,4,4,75-100%,5,4,4,4,RLA,Was fairly confident in applying knowledge,Confident in applying knowledge,"More interactive activities or group work, Access to online resources or recorded lessons, More personalized feedback on assessments","Quality of teaching and instruction, Availability of practice exams and quizzes, Online learning tools and platform",4,5,"In Science and Maths, the teacher regularly checks weekly assignments and tests, which allows me to always review what I have learned. In RLA, since we discuss everything together in class, it gives me a broader perspective. In Social Studies, we not only listen to lectures but also work through the workbook together, which helps me understand the material better.",It would be beneficial to have sessions that encourage networking and collaboration among participants.,"During times when I felt lost and didnâ€™t know what to do, this program has truly been very helpful, and I would like to thank all the teachers and everyone involved in this program for their assistance.",Yes
5,2024-10-20 21:02:32.774,GED Second Batch,Too slow sometimes,4,"Overall, it is pretty good. However, it is too slow sometime.","Electricity, Internet","LMS, Mentor Session, Weekly practice sessions",Social Studies,Yes,I don't really know how to describe exactly. But it is really helpful for me (not only for studies but also for my life),Everything is perfect fr except moodle. As i mentioned before it is kinda slow whenever we try to take exam at the same time.,5,Yes,4,Yes,4,5,5,Yes,4,Yes,5,4,5,Yes,4,Yes,5,5,5,Yes,4,Yes,5,5,2,2,2,1,5,5,5,5,75-100%,5,4,4,4,Social Studies,Struggled with applying knowledge,Can apply knowledge more often,"More interactive activities or group work, Access to online resources or recorded lessons, More personalized feedback on assessments","Study materials and resources provided, Availability of practice exams and quizzes, Motivation and encouragement from teacher",5,5,"I'm really glad that i have a chance to join this class. As tr ko said, although the class doesn't have price tag, the value of the class can't be defined.",I really want debate seesionnnnns.,really fun and effective for me. Trs are talented and master at explaining complex stuff. ,Yes
6,2024-10-20 21:47:40.048,GED Second Batch,"LMS might be comfortable with other countries, but in my experience, we don't always get electricity. So, I am often absent from classes due to battery. And I was really disappointed about that. Because I couldn't catch some lesson and needed to self study again.",3,"As I mentioned before, the internet connection and electricity are the main problems.","Electricity, Internet","Weekly practice sessions, Exam Session","Math, Social Studies",No,Not Specified,Instructor engagement and interaction,4,Yes,4,Yes,5,5,4,Yes,4,Yes,4,4,4,Yes,4,Yes,3,4,4,Yes,4,Yes,5,4,3,2,1,1,4,4,3,5,75-100%,4,3,5,4,Social Studies,Had some difficulty,Confident in applying knowledge,"More interactive activities or group work, Access to online resources or recorded lessons, Improved communication between instructors and students","Quality of teaching and instruction, Study materials and resources provided, Availability of practice exams and quizzes",4,4,No,Keep going! I love all,-,Yes
7,2024-10-20 21:51:44.176,GED Second Batch,-,5,"For me personally, I didn't find any inconvenient. All the teachers are very patient and explain the lessons clearly. ","Internet, device",Weekly practice sessions,Social Studies,Yes,-,-,5,Yes,4,Yes,5,4,5,Yes,4,Yes,5,5,4,Yes,3,Yes,5,4,4,Yes,3,Yes,5,4,2,2,2,2,4,3,3,4,75-100%,4,4,4,4,Social Studies,Had some difficulty,"Some improvement, but still challenging","More practice problems in each subject, More detailed explanations of difficult concepts, Access to online resources or recorded lessons, Additional practice exams or mock tests","Quality of teaching and instruction, Study materials and resources provided, Motivation and encouragement from teacher, Group communication channels or peer interaction platforms",5,4,-,-,It was fun. I gained a lot of knowledge from my teachers and peers. ,Yes
8,2024-10-20 22:12:31.270,GED Second Batch,I find LMS platform easy to use and helpful for learning. Also the features work well.,5,It's easy to use and features are simple.,Internet,Weekly practice sessions,"Math, RLA",No,Not Specified,I feel the program is well-structured and meet my needs. So I have no suggestions for improvement.,5,Yes,4,Yes,5,5,3,No,3,Maybe,5,4,4,Maybe,4,Yes,3,4,4,Yes,3,Maybe,5,4,5,3,1,1,5,4,3,3,75-100%,5,4,4,5,RLA,Struggled with applying knowledge,"Some improvement, but still challenging","Longer or more frequent training sessions, More detailed explanations of difficult concepts, More personalized feedback on assessments","Availability of practice exams and quizzes, Motivation and encouragement from teacher, Group communication channels or peer interaction platforms",4,5,"I appreciate the structured approach of the program and the support from the instructors. The materials were helpful, and I feel well-prepared for the tests. Overall, my experience has been very positive.",Maybe adding test-taking tips or time management skills would help us.,"Iâ€™ve had a great experience! The instructors were supportive, and the resources were helpful. It boosted my confidence! The program was more effective and useful then I expected.",Yes
9,2024-10-20 22:58:53.639,GED Second Batch,I think everything is okay.,5,I,Electricity,"LMS, Mentor Session, Weekly practice sessions","Math, Social Studies, RLA, Science",Yes,Not Specified,I satisfied all areas of the program. ,4,Yes,5,Yes,5,4,5,Yes,4,Yes,5,5,5,Yes,5,Yes,5,5,4,Yes,4,Yes,5,5,3,2,2,1,4,3,3,4,75-100%,5,4,5,5,Social Studies,Struggled with applying knowledge,Confident in applying knowledge,"Longer or more frequent training sessions, More interactive activities or group work, Access to online resources or recorded lessons","Quality of teaching and instruction, Study materials and resources provided, Availability of practice exams and quizzes, Feedback and guidance from instructors, Motivation and encouragement from teacher",5,5,No,"No, this program is prefect.",This learning program is the best and the most beneficial for me.,Yes
10,2024-10-20 23:16:59.440,GED First Batch,"When we take RLA test, it's kinda hard to read the passage to find main idea or something.We couldn't read the whole passage at once in one page, we had to return the previous ones so many times 'till we found the right answers.So, it took much time to finish the test ",2,"I wish we could log into LMS easily without entering password everytime we try to log in.Sometimes, It's so hard and takes so much time to enter the platform since the internet connection.","Electricity, Internet, device",Exam Session,"Social Studies, RLA",Yes,"I joined mentor session just once.I'm so glad the mentor teacher listened me really well and motivated me.And what I like to suggest is there would be more better if the mentor teacher guide us what to prepare after taking GED such as SAT,IELTS etc.When we tell the country we like to study abroad ,I wish mentor teacher provide us if that country is really suitable for GED student like us ,for example; scholarship, other requirements,if the country is allowed to work part time jobs for international students and so on.I know searching informations is our responsibility indeed.I just kindly would like to give some pure suggestions.","Instructor engagement and interaction, teaching methods",5,,4,,5,5,4,Yes,3,Yes,4,4,3,Yes,3,Yes,4,3,5,,4,,5,4,1,1,1,1,4,3,3,4,50-75%,1,1,4,3,Social Studies,Had some difficulty,Can apply knowledge more often,"More interactive activities or group work, Access to online resources or recorded lessons, Improved communication between instructors and students","Quality of teaching and instruction, Availability of practice exams and quizzes, Motivation and encouragement from teacher",3,4,"I'm a student who only joined RLA & Social Studies.But in order to reach this page ,I had to fill all of the requirements given in this form.That's why I just choose 1 to rate my level of satisfaction in Math and Science.I don't mean to rate like that.I just chose those to reach the next page.",....,......,Yes
