,Timestamp,Batch,LMS_Improvements,LMS_Convenience_Rating,LMS_Convenience_Explained,Online_Learning_Difficulty,Training_Likes_Category,Fav_Subjects,Joined_Mentor_Session,Mentor_Experience,GED_Improvements,Math_Teaching_Effectiveness,Math_Time_Sufficient,Math_Confidence_After,Math_Homework_Reasonable,Math_Teacher_Attention,Math_Content_Satisfaction,SS_Teaching_Effectiveness,SS_Time_Sufficient,SS_Confidence_After,SS_Homework_Reasonable,SS_Teacher_Attention,SS_Content_Satisfaction,RLA_Teaching_Effectiveness,RLA_Time_Sufficient,RLA_Confidence_After,RLA_Homework_Reasonable,RLA_Teacher_Attention,RLA_Content_Satisfaction,Science_Teaching_Effectiveness,Science_Time_Sufficient,Science_Confidence_After,Science_Homework_Reasonable,Science_Teacher_Attention,Science_Content_Satisfaction,Pre_GED_Math_Confidence,Pre_GED_RLA_Confidence,Pre_GED_Science_Confidence,Pre_GED_SS_Confidence,Post_GED_Math_Confidence,Post_GED_RLA_Confidence,Post_GED_Science_Confidence,Post_GED_SS_Confidence,Program_Expectations_Met,Math_Skills_Improved,Science_Skills_Improved,SS_Skills_Improved,RLA_Skills_Improved,Top_Improved_Subjects,Pre_Real_Life_Confidence,Post_Real_Life_Confidence,GED_Improvement_Recommendations,Top_GED_Contributors,Overall_GED_Satisfaction,GED_Exam_Preparation_Rating,Additional_Comments,Requested_Topics,Experiences_Shares,Recommend_Program
11,2024-10-20 23:32:46.238,GED Second Batch,I can learn all of subjects and I can take notes easily at one place.,3,"Teachers are patient in teaching and organize the lessons well. Teachers are not only teaching the lessons but also advising how to set mindset during the study period. Honestly, I feel a little bored at RLA class and I can't understand clearly at Social Studies class. I think I didn't pay full attention and I couldn't concentrate to the class. I'm really sorry for that to all the teachers.","Electricity, Internet, device","LMS, Mentor Session, Weekly practice sessions, Exam Session","Math, Science",Yes,"Yes, I learned how to be patient from Teacher Clary, how to pay respect to others from Teacher Ko and how to fully concentrate what we have to do from Sayar Khaing Lynn.","Instructor engagement and interaction, effective of study materials (eg-slides, pdf), teaching methods",3,Yes,3,Yes,4,5,3,Yes,2,Yes,3,3,2,Yes,2,Yes,3,3,3,Yes,3,Yes,3,4,1,1,1,1,4,3,3,3,50-75%,3,3,3,3,Mathematics,Struggled with applying knowledge,"Some improvement, but still challenging","More practice problems in each subject, More interactive activities or group work, More detailed explanations of difficult concepts, Improved communication between instructors and students","Quality of teaching and instruction, Study materials and resources provided, Availability of practice exams and quizzes, Motivation and encouragement from teacher, Online learning tools and platform, Group communication channels or peer interaction platforms",3,3,"Nothing, I really appreciate your kindness and your effort.",English session ,I feel comfortable with the classmates and teachers.,Maybe
12,2024-10-20 23:38:55.690,GED First Batch,"I would like to see advanced reporting tools, advanced analytic and faster performance in the LMS platform.",4,"My rating is based on the communication tools , mobile accessibility, progress monitoring and centralized resources.","Electricity, Internet, device","LMS, Mentor Session, Weekly practice sessions, Exam Session, activities such as  July 19  and presentatinon of social studies ","Math, Social Studies, RLA, Science",Yes,"When   I met my mentor , we discussed my goal deal with GED and she asked me the class I attended before the GED.And she advised me not only how to join international school but also what kind of things are need to apply international school.","Instructor engagement and interaction, effective of study materials (eg-slides, pdf), teaching methods",4,Yes,4,Maybe,5,4,5,Yes,4,Yes,5,4,4,Yes,3,Yes,5,3,5,Yes,5,Yes,5,5,4,2,4,3,4,3,4,4,50-75%,5,5,5,5,Science,Had some difficulty,Very confident in applying knowledge,"More practice problems in each subject, More personalized feedback on assessments, Additional practice exams or mock tests","Quality of teaching and instruction, Study materials and resources provided, Availability of practice exams and quizzes, Motivation and encouragement from teacher, Group communication channels or peer interaction platforms",5,4,"No, I don't have any other comments or feedback about my experience with the program.",There are nothing topics I would like  to see during training sessions.,"I would like to share about my experience regarding the program  that it is my first online class ,so l excited at the beginning.But the teachers are good at teaching , and explain the lessons we don't understand.I believe this program is 85% perfect .",Maybe
13,2024-10-20 23:41:55.960,GED Second Batch,nothing ,5,Teachers are really kind and helpful as well as classmates and system of teaching.,"Electricity, Internet",LMS,Social Studies,No,-,Nothing ,5,Maybe,4,Yes,5,5,5,Yes,5,Yes,5,5,5,Yes,5,Yes,5,5,5,Yes,5,Yes,5,5,1,3,2,1,3,4,3,4,50-75%,4,3,5,5,Mathematics,Had some difficulty,Confident in applying knowledge,"More practice problems in each subject, More detailed explanations of difficult concepts, Additional practice exams or mock tests","Quality of teaching and instruction, Availability of practice exams and quizzes, Feedback and guidance from instructors, Motivation and encouragement from teacher",5,5,-,-,Iâ€™ve got a lot of experience and confidence in group work that Iâ€™ve been disabled to do before since I am introvert.,Yes
14,2024-10-20 23:46:58.688,GED First Batch,"Assignment á€á€„á€ºá€á€²á€·á€¡á€á€« á€•á€­á€¯á€•á€¼á€®á€¸á€œá€½á€šá€ºá€€á€°á€›á€„á€ºá€€á€±á€¬á€„á€ºá€¸á€•á€«á€™á€šá€ºá€›á€¾á€„á€·á€ºá‹ á€–á€­á€¯á€„á€ºá€›á€½á€±á€¸á€•á€¼á€®á€¸á€œá€­á€¯á€· select á€œá€­á€¯á€€á€ºá€›á€„á€º Auto á€‘á€½á€€á€ºá€•á€¼á€®á€¸ home screen á€›á€±á€¬á€€á€ºá€á€½á€¬á€¸á€á€á€ºá€œá€­á€¯á€·á€•á€«á‹
á€€á€»á€”á€ºá€á€¬á€€á€á€±á€¬á€· á€á€™á€®á€¸á€¡á€á€½á€€á€ºá€¡á€á€±á€¬á€ºá€œá€±á€¸á€¡á€†á€„á€ºá€•á€¼á€±á€•á€«á€á€šá€ºá‹",4,á€¡á€•á€±á€«á€ºá€™á€¾á€¬á€•á€¼á€±á€¬á€‘á€¬á€¸á€á€²á€· Assignment á€á€…á€ºá€”á€±á€›á€¬á€€á€œá€½á€²á€›á€„á€º á€¡á€†á€„á€ºá€•á€¼á€±á€•á€«á€á€šá€ºá‹ schedule á€€á€­á€¯á€œá€Šá€ºá€¸ á€€á€­á€¯á€šá€·á€ºá€˜á€¬á€á€¬á€€á€¼á€­á€¯ check á€œá€­á€¯á€·á€›á€•á€¼á€®á€¸ quiz á€–á€¼á€±á€›á€á€¬á€œá€Šá€ºá€¸ time á€‘á€Šá€·á€ºá€•á€±á€¸á€á€²á€· function á€€á€­á€¯á€á€±á€¬á€· á€¡á€›á€™á€ºá€¸á€á€˜á€±á€¬á€€á€»á€•á€«á€á€šá€ºá‹ á€¡á€á€»á€­á€”á€ºá€”á€²á€·á€€á€¼á€Šá€·á€ºá€•á€¼á€®á€¸á€•á€­á€¯á€œá€¯á€•á€ºá€–á€¼á€…á€ºá€œá€¬á€œá€­á€¯á€·á€•á€«á‹,"Electricity, noisy environment, á€¡á€›á€™á€ºá€¸á€á€±á€¬á€· á€™á€†á€°á€Šá€¶á€•á€±á€™á€šá€·á€º personal space á€™á€Ÿá€¯á€á€ºá€á€²á€·á€¡á€á€½á€€á€º á€á€…á€ºá€á€»á€€á€ºá€á€»á€€á€º á€¡á€á€€á€ºá€á€²á€–á€¼á€…á€ºá€á€¬á€™á€»á€­á€¯á€¸á€•á€«á‹","Weekly practice sessions, Exam Session, á€á€á€¼á€¬á€¸á€¡á€›á€¬á€€á€á€±á€¬á€· á€†á€›á€¬á€”á€²á€· á€†á€›á€¬á€™á€á€­á€¯á€·á€›á€²á€· á€¡á€á€„á€ºá€¡á€•á€¼á€•á€¯á€¶á€…á€¶á€•á€«á‹ â€Œá€á€…á€ºá€šá€±á€¬á€€á€ºá€á€»á€„á€ºá€¸á€†á€®á€€á€”á€± á€¡á€™á€»á€¬á€¸á€€á€¼á€®á€¸á€á€„á€ºá€šá€°á€á€²á€·á€›á€á€œá€­á€¯ á€á€„á€ºá€¹á€á€»á€¬á€á€»á€­á€”á€ºá€€á€á€±á€¬á€· á€¡á€€á€¼á€­á€¯á€€á€ºá€†á€¯á€¶á€¸á€•á€«á‹",Math,Yes,á€•á€‘á€™á€”á€¾á€…á€ºá€œá€™á€¾á€¬ á€€á€­á€¯á€šá€ºá€¡á€á€€á€ºá€á€²á€–á€¼á€…á€ºá€”á€±á€á€¬á€á€½á€±á€€á€­á€¯á€•á€¼á€±á€¬á€œá€­á€¯á€·á€›á€á€²á€·á€”á€±á€›á€¬á€›á€á€²á€·á€•á€¼á€®á€¸ á€¡á€…á€ºá€™á€€ á€á€±á€á€»á€¬á€”á€¬á€¸á€‘á€±á€¬á€„á€ºá€•á€¼á€®á€¸ á€¡á€€á€¼á€¶á€‰á€¬á€á€ºá€á€½á€±á€œá€Šá€ºá€¸á€•á€±á€¸á€á€²á€·á€•á€«á€á€šá€ºá‹ ,"Instructor engagement and interaction, effective of study materials (eg-slides, pdf)",5,á€†á€›á€¬á€·á€˜á€€á€ºá€€á€á€±á€¬á€· á€á€„á€ºá€”á€±á€á€¬á€€á€­á€¯ á€”á€¾á€…á€ºá€†á€•á€¼á€”á€º practice á€œá€¯á€•á€ºá€»á€•á€¸á€á€²á€·á€¡á€á€½á€€á€º 90% á€¡á€‘á€­ cover á€–á€¼á€…á€ºá€á€šá€ºá€œá€­á€¯á€· á€‘á€„á€ºá€•á€«á€á€šá€ºá‹ á€€á€»á€”á€ºá€á€²á€· 10% á€€á€á€±á€¬á€· GED á€€á€”á€‚á€­á€¯á€€á€á€Šá€ºá€¸á€€ á€€á€»á€šá€ºá€•á€¼á€”á€·á€ºá€á€œá€­á€¯ á€á€„á€ºá€¹á€á€»á€¬á€€á€œá€Šá€ºá€¸á€€á€»á€šá€ºá€•á€¼á€”á€·á€ºá€á€²á€·á€¡á€á€½á€€á€º á€œá€¯á€¶á€¸á€ cover á€–á€¼á€…á€ºá€á€šá€ºá€œá€­á€¯á€·á€á€±á€¬á€· á€•á€¼á€±á€¬á€™á€›á€”á€­á€¯á€„á€ºá€•á€«á‹,4,á€–á€¼á€…á€ºá€á€„á€·á€ºá€á€šá€ºá€œá€­á€¯á€· á€œá€¯á€¶á€¸á€á€‘á€„á€ºá€•á€«á€á€šá€ºá‹ á€’á€®á€‘á€€á€ºá€•á€­á€¯á€•á€¼á€®á€¸ á€™á€»á€¬á€¸á€™á€šá€ºá€†á€­á€¯á€á€±á€¬á€„á€ºá€›á€•á€«á€á€±á€¸á€á€šá€º á€™á€»á€¬á€¸á€™á€»á€¬á€¸ practice â€Œá€œá€¯á€•á€ºá€›á€œá€± á€•á€­á€¯á€€á€±á€¬á€„á€ºá€¸á€œá€±á€–á€¼á€…á€ºá€œá€­á€¯á€·á€•á€«á‹,5,4,4,,3,á€–á€¼á€…á€ºá€á€„á€·á€ºá€á€šá€ºá€œá€­á€¯á€·á€‘á€„á€ºá€•á€«á€á€šá€ºá‹ á€á€…á€ºá€á€¯á€á€±á€¬á€·á€•á€¼á€±á€¬á€›á€™á€šá€ºá€†á€­á€¯ question practice session á€™á€¾á€¬ á€€á€»á€±á€¬á€„á€ºá€¸á€á€½á€¬á€¸á€á€½á€±á€€á€­á€¯ á€¡á€¯á€•á€ºá€…á€¯á€œá€­á€¯á€€á€ºá€–á€á€ºá€á€­á€¯á€„á€ºá€¸á€•á€¼á€®á€¸ activity á€¡á€”á€±á€”á€²á€· á€•á€¼á€­á€¯á€„á€ºá€–á€¼á€±á€á€­á€¯á€„á€ºá€¸á€™á€šá€ºá€†á€­á€¯á€›á€„á€ºá€•á€­á€¯á€€á€±á€¬á€„á€ºá€¸á€™á€šá€ºá€‘á€„á€ºá€•á€«á€á€šá€ºá‹ á€’á€«á€€ á€á€®á€á€»á€šá€·á€ºá€˜á€€á€ºá€€á€œá€­á€¯á€¡á€•á€ºá€á€»á€€á€ºá€›á€šá€ºá€á€±á€¬á€·á€™á€Ÿá€¯á€á€ºá€•á€«á€˜á€°á€¸ á€á€™á€®á€¸á€€á€»á€±á€¬á€„á€ºá€¸á€á€¬á€¸á€á€½á€±á€˜á€€á€ºá€€á€œá€Šá€ºá€¸ á€•á€«á€á€„á€ºá€™á€¾á€¯á€¡á€¬á€¸á€”á€Šá€ºá€¸á€€á€¼á€á€¬á€•á€«á€–á€¼á€±á€”á€±á€€á€»á€á€°á€á€…á€ºá€šá€±á€¬á€€á€ºá€”á€¾á€…á€ºá€šá€±á€¬á€€á€ºá€€á€•á€² á€¡á€¬á€¸á€€á€¼á€­á€¯á€¸á€™á€¬á€”á€ºá€á€€á€ºá€–á€¼á€±á€€á€¼á€á€±á€¬á€· groupá€”á€²á€·á€†á€­á€¯á€¡á€á€»á€­á€”á€ºá€¡á€›á€¡á€›á€™á€ºá€¸á€šá€°á€á€½á€¬á€¸á€™á€¾á€¬á€™á€­á€¯á€·á€”á€¬á€¸á€œá€Šá€ºá€•á€«á€á€šá€ºá‹ á€”á€±á€¬á€€á€ºá€•á€­á€¯á€„á€ºá€¸á€á€½á€±á€€á€»á€•á€­á€¯á€†á€½á€²á€á€±á€«á€ºá€”á€­á€¯á€„á€ºá€›á€„á€ºá€á€±á€¬á€·á€•á€­á€¯á€€á€±á€¬á€„á€ºá€¸á€•á€«á€™á€šá€ºá€›á€¾á€„á€·á€º,4,3,4,Maybe,4,Writing á€¡á€á€½á€€á€ºâ€Œá€á€±á€¬á€· á€•á€­á€¯á€•á€¼á€®á€¸á€™á€»á€¬á€¸á€œá€±á€€á€±á€¬á€„á€ºá€¸á€œá€±á€¸á€‘á€„á€ºá€•á€«á€á€šá€ºá€›á€¾á€„á€·á€º ,4,4,3,Maybe,3,Yes,3,3,4,3,2,1,5,4,3,3,50-75%,5,3,4,4,Mathematics,Struggled with applying knowledge,"Some improvement, but still challenging","Longer or more frequent training sessions, More interactive activities or group work, Additional practice exams or mock tests, Improved communication between instructors and students","Quality of teaching and instruction, Study materials and resources provided, Feedback and guidance from instructors, Online learning tools and platform",4,4,á€›á€¾á€±á€·á€†á€€á€ºá€œá€»á€¾á€±á€¬á€€á€ºá€–á€­á€¯á€· á€¡á€“á€­á€€á€€á€á€±á€¬á€· á€œá€™á€ºá€¸á€…á€”á€²á€· á€¡á€¬á€¸á€¡á€„á€ºá€á€½á€±á€›á€•á€¼á€®á€¸ á€á€€á€šá€·á€ºá€œá€€á€ºá€á€½á€±á€™á€¾á€¬ á€›á€•á€ºá€™á€”á€±á€á€²á€·á€á€°á€á€½á€±á€¡á€™á€»á€¬á€¸á€€á€¼á€®á€¸á€›á€¾á€­á€”á€±á€á€¬ á€á€á€ºá€”á€­á€¯á€„á€ºá€â€Œá€œá€±á€¬á€€á€ºá€†á€½á€²á€á€±á€«á€ºá€•á€±á€¸á€”á€±á€€á€¼á€á€²á€·á€œá€°á€á€½á€±á€”á€²á€·á€†á€¯á€¶á€á€²á€·á€›á€•á€¼á€®á€¸ á€•á€Šá€¬á€›á€±á€¸á€œá€™á€ºá€¸á€•á€±á€«á€ºá€€á€­á€¯á€•á€¼á€”á€ºá€œá€»á€¾á€±á€¬á€€á€ºá€”á€­á€¯á€„á€ºá€á€²á€·á€•á€¼á€®á€¸ á€á€±á€¸á€€á€½á€¬á€”á€±á€á€²á€·á€…á€¬á€á€½á€±á€›á€±á€¬ á€¡á€á€…á€ºá€á€½á€±á€›á€±á€¬ á€á€„á€ºá€šá€°á€á€²á€·á€›á€á€¬á€€ á€á€€á€šá€·á€ºá€¡á€á€½á€±á€·á€€á€¼á€¯á€¶á€€á€±á€¬á€„á€ºá€¸á€œá€­á€¯á€·á€‘á€„á€ºá€•á€«á€á€šá€ºá‹ , á€¡á€¬á€‡á€¬á€”á€Šá€ºá€”á€±á€·á€œá€­á€¯á€™á€»á€­á€¯á€¸ activity á€á€½á€±á€•á€­á€¯á€›á€¾á€­á€á€¬á€™á€»á€­á€¯á€¸ á€¡á€á€”á€ºá€¸á€¡á€á€½á€„á€ºá€¸presentation á€œá€±á€¸á€á€½á€±á€•á€­á€¯á€™á€»á€¬á€¸á€›á€„á€ºá€•á€­á€¯á€€á€±á€¬á€„á€ºá€¸á€™á€šá€ºá€‘á€„á€ºá€•á€«á€á€šá€ºá‹,experience á€‘á€€á€º á€€á€­á€¯á€šá€ºá€á€­á€¯á€„á€ºá€¡á€”á€±á€”á€²á€· á€™á€–á€¼á€±á€–á€¼á€…á€ºá€á€±á€¬á€·á€–á€­á€¯á€· á€á€±á€á€»á€¬á€á€œá€±á€¬á€€á€ºá€•á€±á€™á€²á€· á€™á€á€±á€¸á€€á€½á€¬á€á€½á€¬á€¸á€¡á€±á€¬á€„á€ºá€á€±á€¬á€· á€œá€±á€·á€œá€¬á€”á€±á€•á€«á€á€šá€ºá‹ á€”á€±á€¬á€€á€ºá€•á€­á€¯á€„á€ºá€¸á€á€½á€± á€†á€€á€ºá€•á€¼á€®á€¸ á€¡á€á€…á€ºá€á€½á€±á€–á€½á€„á€·á€ºá€á€²á€·á€¡á€á€« assistant/ volunteer á€œá€­á€¯á€œá€»á€¾á€„á€º á€•á€«á€á€„á€ºá€á€»á€„á€ºá€•á€«á€á€šá€ºá€›á€¾á€„á€·á€º,Yes
15,2024-10-20 23:55:42.815,GED Second Batch,Inclusive Education ,2,Because I have issues of background noise and internet ,"Electricity, Internet, noisy environment","LMS, Exam Session",Math,No,Not Specified,"Instructor engagement and interaction, effective of study materials (eg-slides, pdf), teaching methods",3,Yes,3,Maybe,3,3,3,Maybe,4,Yes,1,2,1,Yes,2,Yes,2,2,3,Yes,3,Yes,3,4,2,1,2,1,4,2,3,2,25-50%,4,4,3,2,Mathematics,Had some difficulty,"Some improvement, but still challenging","More practice problems in each subject, Additional study materials or resources, Longer or more frequent training sessions, More interactive activities or group work, More detailed explanations of difficult concepts, Access to online resources or recorded lessons, More personalized feedback on assessments, Improved communication between instructors and students","Quality of teaching and instruction, Study materials and resources provided, Availability of practice exams and quizzes, Feedback and guidance from instructors, Online learning tools and platform, Group communication channels or peer interaction platforms",3,3,Give record lesson and some individually feedback from instructor are better to improve GED study for Students ,Intensive ,No,Yes
16,2024-10-20 23:59:23.699,GED Second Batch,i don't have any ideas,5,Because we can easily learn and access to many unlocked door through it like learning GED by Zoom with Teachers who are really good at teaching,Internet,LMS,"Math, Social Studies, RLA, Science",No,Not Specified,"Instructor engagement and interaction, effective of study materials (eg-slides, pdf), teaching methods",5,Yes,4,Yes,5,4,5,Yes,4,Yes,5,5,5,Yes,4,Yes,5,5,5,Yes,4,Yes,5,5,3,2,2,2,4,3,3,4,50-75%,4,4,4,4,RLA,Had some difficulty,Can apply knowledge more often,"More practice problems in each subject, More detailed explanations of difficult concepts, Access to online resources or recorded lessons","Quality of teaching and instruction, Availability of practice exams and quizzes, Motivation and encouragement from teacher",5,5,I feel like I had a great chance to learn GED and want to thanks all of you for providing such a valuable program.,not yet,I have got much more knowledge from this program and have fun all the time joining the class,Yes
17,2024-10-21 00:48:08.253,GED Second Batch,.,3,Its functions can be used well and simple.,"Electricity, Internet, device","LMS, Mentor Session","Math, Science",Yes,.,"Instructor engagement and interaction, effective of study materials (eg-slides, pdf), teaching methods",5,Yes,5,Yes,5,5,4,Maybe,4,Maybe,3,4,5,Yes,5,Yes,5,5,5,Yes,5,Yes,5,5,4,3,4,4,5,3,4,3,50-75%,5,4,4,3,Science,Was fairly confident in applying knowledge,"Some improvement, but still challenging","More interactive activities or group work, Access to online resources or recorded lessons, Improved communication between instructors and students","Quality of teaching and instruction, Availability of practice exams and quizzes, Feedback and guidance from instructors, Motivation and encouragement from teacher, Online learning tools and platform",4,3,.,.,.,Yes
18,2024-10-21 07:23:51.663,GED Second Batch,Yes,4,Convenient ,"Electricity, Internet","LMS, Weekly practice sessions, Exam Session","Math, Science",No,"Yes, it is good for us. We can know which subject should we study or practice more
","effective of study materials (eg-slides, pdf)",4,Yes,3,Yes,4,4,4,Yes,3,Yes,5,4,4,Yes,3,Yes,5,4,5,Yes,4,Yes,4,4,2,1,2,1,3,2,3,2,50-75%,4,4,3,3,Science,Had some difficulty,"Some improvement, but still challenging","More practice problems in each subject, Access to online resources or recorded lessons, Additional practice exams or mock tests","Quality of teaching and instruction, Availability of practice exams and quizzes, Motivation and encouragement from teacher",4,4,No. It is comfortable for me. ,No.,"It helped me a lot. Before I join this program, i didn't even know what GED is. I just know that I have to take for my future. The teachers are really helpful and give lots of knowledge and share us the experience. ",Yes
19,2024-10-21 08:22:46.326,GED Second Batch,Customize background colors,3,"Useable most times, but sometimes I just can't enter site (probably internet issue?)","Electricity, Internet, noisy environment",Weekly practice sessions,"Math, Social Studies, RLA, Science",No,"??? Short response - math and science teacher provide most useful advices and guidances (I can't share full and specific experiences , it will take too long)","effective of study materials (eg-slides, pdf)",5,Yes,4,Maybe,5,5,4,Yes,5,"no, need more assignments",3,3,4,Yes,4,Yes,2,4,5,Yes,5,Yes,5,5,2,3,2,2,4,4,4,4,75-100%,5,4,4,5,Mathematics,Could apply knowledge sometimes,Very confident in applying knowledge,"Additional study materials or resources, Longer or more frequent training sessions, More interactive activities or group work, More detailed explanations of difficult concepts, More personalized feedback on assessments, Additional practice exams or mock tests","Availability of practice exams and quizzes, Motivation and encouragement from teacher, Online learning tools and platform",5,5,Thanks teachers for giving time and teaching us,more activities for students,"RLA teacher is ice cold? Math and science teacher is scary but feels it's for our good.Social teacher feels clumsy sometimes 
I like math teacher, he call out slackers (some students frequently don't do assignments (bad kids))
And I think some students take attendances in website,but don't attend class, I mean when teachers call our name after class for attendances after class , their name is filled but I don't see them attending class at all!",Yes
